Year,Word,Frequency
1985,police,2
1985,treatment,2
1985,habit,1
1985,emp_tally,2
1985,ap_tally,3
1985,health,7
1985,disease,3
1985,police,1
1985,emp_tally,10
1985,ap_tally,1
1985,emp_total,12
1985,ap_total,4
1986,criminal,1
1986,emp_tally,0
1986,ap_tally,1
1986,treatment,2
1986,habit,1
1986,health,1
1986,crime,1
1986,emp_tally,3
1986,ap_tally,2
1986,criminal,2
1986,emp_tally,0
1986,ap_tally,2
1986,prison,2
1986,habit,1
1986,emp_tally,0
1986,ap_tally,3
1986,police,11
1986,sick,1
1986,treatment,1
1986,prison,3
1986,emp_tally,2
1986,ap_tally,14
1986,emp_tally,0
1986,ap_tally,0
1986,justice,3
1986,police,1
1986,emp_tally,0
1986,ap_tally,4
1986,police,7
1986,threat,1
1986,emp_tally,0
1986,ap_tally,8
1986,treatment,1
1986,crime,1
1986,police,1
1986,emp_tally,1
1986,ap_tally,2
1986,treatment,1
1986,emp_tally,1
1986,ap_tally,0
1986,treatment,1
1986,police,4
1986,habit,2
1986,criminal,1
1986,health,1
1986,emp_tally,2
1986,ap_tally,7
1986,treatment,10
1986,crime,1
1986,health,1
1986,police,3
1986,emp_tally,11
1986,ap_tally,4
1986,police,6
1986,emp_tally,0
1986,ap_tally,6
1986,prison,7
1986,criminal,7
1986,justice,4
1986,police,5
1986,arrest,1
1986,emp_tally,0
1986,ap_tally,24
1986,emp_tally,0
1986,ap_tally,0
1986,police,1
1986,crime,1
1986,emp_tally,0
1986,ap_tally,2
1986,police,12
1986,crime,1
1986,health,1
1986,criminal,1
1986,emp_tally,1
1986,ap_tally,14
1986,prison,4
1986,crime,1
1986,criminal,1
1986,justice,1
1986,emp_tally,0
1986,ap_tally,7
1986,prison,3
1986,crime,1
1986,violence,1
1986,criminal,1
1986,justice,1
1986,treatment,1
1986,emp_tally,1
1986,ap_tally,7
1986,disease,1
1986,user,1
1986,police,1
1986,treatment,1
1986,emp_tally,2
1986,ap_tally,2
1986,user,1
1986,treatment,2
1986,health,1
1986,emp_tally,3
1986,ap_tally,1
1986,police,11
1986,justice,1
1986,violence,1
1986,emp_tally,0
1986,ap_tally,13
1986,police,3
1986,justice,3
1986,treatment,2
1986,emp_tally,2
1986,ap_tally,6
1986,police,2
1986,criminal,1
1986,emp_tally,0
1986,ap_tally,3
1986,habit,1
1986,emp_tally,0
1986,ap_tally,1
1986,police,3
1986,crime,1
1986,treatment,1
1986,criminal,3
1986,justice,4
1986,prison,1
1986,arrest,1
1986,emp_tally,1
1986,ap_tally,13
1986,crime,1
1986,threat,1
1986,police,2
1986,criminal,2
1986,prison,1
1986,emp_tally,0
1986,ap_tally,7
1986,police,4
1986,crime,1
